alpha,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
0.1,37.083606368413534,44.2,65.60000000000001,74.2,81.8,44.2,32.030944444444444,31.637476820357772,33.6111212766096
0.2,37.682317271421134,44.2,65.4,75.0,82.0,44.2,32.32994444444445,32.071908919123196,34.10036476738032
0.3,38.23587401450286,44.2,65.8,75.2,82.0,44.2,32.45272222222223,32.424211010330055,34.51638265468526
0.4,38.79410973619636,44.2,66.0,75.6,82.39999999999999,44.2,32.71911111111111,32.676867031997986,35.04472585880484
0.5,39.22782700968627,44.4,65.60000000000001,75.6,81.8,44.4,32.649,32.96310950491307,35.45195954512309
0.6,39.5521039446499,44.2,65.0,74.8,81.6,44.2,32.62244444444444,33.051358560090705,35.763928134207276
0.7,39.77451663374211,43.8,63.800000000000004,73.6,80.80000000000001,43.8,32.59361111111111,33.09678536785084,35.870921913692264
0.8,39.75647631618922,43.0,63.4,71.8,78.0,43.0,32.29027777777778,32.889714317208366,35.70941916369234
0.9,39.96032194753776,43.6,62.6,71.0,76.8,43.6,32.34994444444444,32.94799209498614,35.85731329129322
